Año,Total,Asfaltos,Avtur,Bagazo de caña,Carbón mineral,Coque,Diesel,Fuel oil,Gas licuado de petróleo,Gas natural,Gasolina,Leña,Lubricantes,Otros no energético,Otros primarias,Petróleo crudo
2000,22508.6364907252,65.54189032256254,478.00025449680203,887.4920964106503,253.99114996401465,217.93571886222935,6186.053953654978,2390.5219832069174,1506.3299126733643,381.8770622451046,1877.8761237126616,1739.3019764201906,52.101380628798346,17.6966034104475,24.34191682207153,6811.451530139511
2001,22065.192709663457,77.8969175985,536.3541039199978,896.0081500983246,409.52730246109263,318.9521536620553,4718.869683971069,4332.314651481253,1447.594958283904,427.4000253758539,2011.752201286926,1689.9645957790062,46.29472825909795,18.88545604812428,28.519504834391668,5531.983797977081
2002,24102.854628343648,72.82496407725002,247.31616376004504,955.8754369729064,1312.552245515985,426.1185682949115,4592.099594111325,4880.606916401518,1399.6235380325206,478.33553570922703,2076.162347364913,1701.8819006403353,40.221638405880334,60.495806289132055,28.657069678851396,6308.418438798076
2003,22033.24001328118,24.150088180927508,522.7713347346655,930.9699942242929,1882.3247150337213,281.1912566011516,3283.918363412166,3358.8701074703117,1317.2525476305118,537.3374229656744,1824.761312554717,1654.3686130071976,43.58604241435133,27.877782244529033,25.28371634230969,6318.57671646465
2004,21744.84934037851,30.902265078382502,665.5186848433956,1028.8907202331013,2624.154382517237,862.3074754873152,3291.5412690805065,1514.1435483493103,1568.983905741052,308.66422857831793,1631.0696036112731,1633.3112183145383,43.683123585367916,77.57731303482826,24.419469401328683,6439.682132522555
2005,22315.428053839503,30.902266810800015,600.2853319023584,918.2923773047788,1780.9079370519403,816.1887027947419,3371.917947330465,2749.091464591851,1802.1337978146305,426.7646454469578,1493.5194171254998,1676.004176936207,52.82947578620249,48.843518228505026,26.344091996290302,6521.74603878349
2006,23532.9852118603,35.04166895517751,543.6624925805208,874.1943023579693,2646.080343657328,1395.4570693738294,3353.1639312411994,2497.2830201430293,1936.6403948908212,699.3490476201599,1349.4864084388366,1714.9514451154946,34.339751081212505,37.707379532707485,28.53436079400819,6386.960257621714
2007,24309.008339733584,20.048612120460003,754.1273236424308,896.4126838584042,2853.802964088955,1331.0156992146522,3219.8909470902468,2762.113695776198,2191.2363620887118,1016.2360251456968,1527.556141303127,1735.5991152374693,60.290051305522546,49.47794345166747,29.742455467666854,5861.5069317415
2008,23051.2867558999,99.43258568166009,633.9944406182793,879.5053613612372,2301.092372673074,1291.4601128955799,3256.6009018074797,3005.865957535465,2324.356418756861,1058.6194016242112,1114.7157528348228,1712.813811397463,50.96672829170999,78.20697348040501,30.77949300734465,5213.20199138334
2009,22647.658798558947,86.74687779218998,694.8284188584321,874.7583496593921,2648.1031616501023,831.8176944353289,3192.0434823064606,3566.567601759889,2301.820863456998,1029.1699579831331,1688.2841362886531,1665.6242816325541,40.847422556902494,42.94419171099748,32.946865520111025,3950.657879756487
2010,23541.034960564837,141.17315133536997,639.9669443927183,886.8591210980034,2362.303902369013,1207.084467571505,3008.8092269228405,3651.055685412361,2264.8629647097446,1661.752801934759,1780.1476790455872,1684.822603392897,45.137708398282506,44.0795120864175,35.309018413519574,4128.496357979189
2011,24035.78131893477,92.79676848865506,637.3694396395844,842.5662912460658,2631.551180867808,1238.8300018033026,3080.2551156304635,3081.2442555720704,2056.22579653854,1914.0479514695242,2588.0724336888666,1671.4224464627698,45.289058718172534,54.247477888642514,33.52452042614235,4068.202719674078
2012,24274.972060099677,126.75970301854117,857.5464655267256,927.6029601359252,2081.316148795672,1199.2191818581416,3193.5240914305955,3014.547704440281,2020.583579731174,2269.259141501128,2762.281872844222,1655.5373374109179,36.31874461850252,46.4249042420625,31.048773273566866,4052.955764957917
2013,23904.014812041787,123.43155072681479,681.1797476442584,870.2331730685305,2577.8258818005856,1207.1568969853242,2707.404113079937,3525.5492962576996,2181.4620920972047,2321.085188583617,1940.213435534183,1661.599966611542,37.23398665890752,57.68283059328035,33.653188197084084,3978.0928941199804
