Año;Total;Asfaltos;Avtur;Bagazo de caña;Carbón mineral;Coque;Diesel;Fuel oil;Gas licuado de petróleo;Gas natural;Gasolina;Kerosene;Leña;Lubricantes;Otros no energético;Otros primarias;Petróleo crudo
2000;225.086.364.907.252;655.418.903.225.625;478.000.254.496.802;8.874.920.964.106.500;253.991.149.964.015;21.793.571.886.222.900;618.605.395.365.498;239.052.198.320.692;150.632.991.267.336;-544.643.200.315.785;187.787.612.371.266;-0.12019688089834021;17.393.019.764.201.900;521.013.806.287.983;176.966.034.104.475;2.434.191.682.207.150;681.145.153.013.951
2001;220.651.927.096.635;778.969.175.985;536.354.103.919.998;8.960.081.500.983.240;409.527.302.461.093;3.189.521.536.620.550;471.886.968.397.107;433.231.465.148.125;14.475.949.582.839;37.130.405.399.300.200;201.175.220.128.693;0.27450400263310615;16.899.645.957.790.000;46.294.728.259.098;188.854.560.481.243;28.519.504.834.391.600;553.198.379.797.708
2002;241.028.546.283.436;7.282.496.407.725;247.316.163.760.045;9.558.754.369.729.060;131.255.224.551.599;4.261.185.682.949.110;459.209.959.411.133;488.060.691.640.152;139.962.353.803.252;6.534.465.644.975.710;207.616.234.736.491;0.16830444487921395;17.018.819.006.403.300;402.216.384.058.803;604.958.062.891.321;28.657.069.678.851.300;630.841.843.879.808
2003;220.332.400.132.812;241.500.881.809.275;522.771.334.734.666;9.309.699.942.242.920;188.232.471.503.372;2.811.912.566.011.510;328.391.836.341.217;335.887.010.747.031;131.725.254.763.051;5.373.374.229.656.740;182.476.131.255.472;0.375229777550971;16.543.686.130.071.900;435.860.424.143.513;27.877.782.244.529;2.528.371.634.230.960;631.857.671.646.465
2004;217.448.493.403.785;309.022.650.783.825;665.518.684.843.396;10.288.907.202.331.000;262.415.438.251.724;8.623.074.754.873.150;329.154.126.908.051;151.414.354.834.931;156.898.390.574.105;30.866.422.857.831.700;163.106.960.361.127;0.33194356510593737;16.333.112.183.145.300;436.831.235.853.679;775.773.130.348.283;24.419.469.401.328.600;643.968.213.252.255
2005;223.154.280.538.395;309.022.668.108;600.285.331.902.358;9.182.923.773.047.780;178.090.793.705.194;8.161.887.027.947.410;337.191.794.733.046;274.909.146.459.185;180.213.379.781.463;4.267.646.454.469.570;14.935.194.171.255;-0.3431360652150495;1.676.004.176.936.200;528.294.757.862.025;48.843.518.228.505;26.344.091.996.290.300;652.174.603.878.349
2006;235.329.852.118.603;350.416.689.551.775;543.662.492.580.521;8.741.943.023.579.690;264.608.034.365.733;13.954.570.693.738.200;33.531.639.312.412;249.728.302.014.303;193.664.039.489.082;6.993.490.476.201.590;134.948.640.843.884;0.13333845628911553;17.149.514.451.154.900;343.397.510.812.125;377.073.795.327.075;2.853.436.079.400.810;638.696.025.762.171
2007;243.090.083.397.336;2.004.861.212.046;754.127.323.642.431;8.964.126.838.584.040;285.380.296.408.895;13.310.156.992.146.500;321.989.094.709.025;27.621.136.957.762;219.123.636.208.871;10.162.360.251.456.900;152.755.614.130.313;-0.04861179912483842;17.355.991.152.374.600;602.900.513.055.225;494.779.434.516.675;29.742.455.467.666.800;58.615.069.317.415
2008;230.512.867.558.999;994.325.856.816.601;633.994.440.618.279;8.795.053.613.612.370;230.109.237.267.307;12.914.601.128.955.700;325.660.090.180.748;300.586.595.753.546;232.435.641.875.686;10.586.194.016.242.100;111.471.575.283.482;-0.3255474490367969;1.712.813.811.397.460;5.096.672.829.171;78.206.973.480.405;3.077.949.300.734.460;521.320.199.138.334
2009;226.476.587.985.589;8.674.687.779.219;694.828.418.858.432;8.747.583.496.593.920;26.481.031.616.501;8.318.176.944.353.280;319.204.348.230.646;356.656.760.175.989;2.301.820.863.457;10.291.699.579.831.300;168.828.413.628.865;0.4976131913160529;16.656.242.816.325.500;408.474.225.569.025;429.441.917.109.975;32.946.865.520.111.000;395.065.787.975.649
