Año,Variable,Valor_imputado,Negativo
2019,Bagazo de caña,932.1105644535521,FALSE
2020,Bagazo de caña,927.6924251984653,FALSE
2021,Bagazo de caña,943.8411029310753,FALSE
2022,Bagazo de caña,921.4925976094175,FALSE
2019,Coque,1433.035496617378,FALSE
2020,Coque,1271.865627017376,FALSE
2021,Coque,1382.0724443115619,FALSE
2022,Coque,1139.4308978102365,FALSE
2000,Gas natural,1032.8692594070303,FALSE
2001,Gas natural,1137.456683719952,FALSE
2002,Gas natural,1244.530649063539,FALSE
2019,Leña,1743.4480247793042,FALSE
2020,Leña,1719.6488129944369,FALSE
2021,Leña,1730.0375674042523,FALSE
2022,Leña,1701.934543866744,FALSE
2019,Otros primarias,35.08992260885435,FALSE
2020,Otros primarias,33.35977776873772,FALSE
2021,Otros primarias,33.7540974589083,FALSE
2022,Otros primarias,32.35787435954541,FALSE
