Variable,MSE_OOB,Tiene_faltantes,Desviacion_observada,RMSE_OOB,NRMSE_aproximado
Año,0,FALSE,6.782329983125268,0,0
Asfaltos,0,FALSE,47.98848384068174,0,0
Avtur,0,FALSE,255.93676400657506,0,0
Bagazo de caña,7090.384686492048,TRUE,78.20213109828133,84.20442201269508,1.0767535466120521
Carbón mineral,0,FALSE,1780.1711982798658,0,0
Coque,88820.85573573185,TRUE,469.280349184202,298.0282800939063,0.6350751328326433
Diesel,0,FALSE,864.8268205638104,0,0
Fuel oil,0,FALSE,966.9996467564561,0,0
Gas licuado de petróleo,0,FALSE,510.8005074295776,0,0
Gas natural,0,FALSE,1071.097675473987,0,0
Gasolina,0,FALSE,567.6804898618078,0,0
Leña,1291.7586132450715,TRUE,44.91021215054497,35.94104357479164,0.8002866576161455
Lubricantes,0,FALSE,7.032795892859304,0,0
Otros no energético,0,FALSE,18.43891550854136,0,0
Otros primarias,4.548188533435465,TRUE,4.302571747841048,2.132648244187368,0.49566825823590094
Petróleo crudo,0,FALSE,1562.7702777356897,0,0
