Variable,MSE_OOB,Tiene_faltantes,Desviacion_observada,RMSE_OOB,NRMSE_aproximado
Año,0,FALSE,6.782329983125268,0,0
Asfaltos,0,FALSE,47.98848384068174,0,0
Avtur,0,FALSE,255.93676400657506,0,0
Bagazo de caña,6899.15704133979,TRUE,78.20213109828133,83.06116445932955,1.0621342832069574
Carbón mineral,0,FALSE,1780.1711982798658,0,0
Coque,94515.81309041323,TRUE,469.280349184202,307.4342418963984,0.6551185073716442
Diesel,0,FALSE,864.8268205638104,0,0
Fuel oil,0,FALSE,966.9996467564561,0,0
Gas licuado de petróleo,0,FALSE,510.8005074295776,0,0
Gas natural,339155.7193269306,TRUE,1015.5315495788861,582.3707747877897,0.5734639903893516
Gasolina,0,FALSE,567.6804898618078,0,0
Leña,1262.9875219350845,TRUE,44.91021215054497,35.538535731443474,0.7913241561254176
Lubricantes,0,FALSE,7.032795892859304,0,0
Otros no energético,0,FALSE,18.43891550854136,0,0
Otros primarias,4.943883857435896,TRUE,4.302571747841048,2.223484620463091,0.516780370153919
Petróleo crudo,0,FALSE,1562.7702777356897,0,0
